model,category,n,accuracy_pct,coverage_pct
ours_racoforumsanon_300,gram7-infinitiu-a-3a-singular,870,18.51,100.0
ours_racoforumsanon_300,gram8-infinitiu-a-1a-singular,812,9.36,100.0
ours_racoforumsanon_300,gram9-masculi-femeni,812,24.38,100.0
ft_skipg_d50,capital-país-1,506,56.72,100.0
ft_skipg_d50,capital-país-2,3660,31.42,100.0
ft_skipg_d50,familia,380,48.16,100.0
ft_skipg_d50,gram1-adjectiu-a-adverbi,650,11.54,100.0
ft_skipg_d50,gram10-masculi-femeni-plural,702,57.12,100.0
ft_skipg_d50,gram2-antònims,506,10.47,100.0
ft_skipg_d50,gram3-infinitiu-geruni,1056,52.46,100.0
ft_skipg_d50,gram4-país-gentilici,1560,65.83,100.0
ft_skipg_d50,gram5-gerundi-imperfet,1482,53.37,100.0
ft_skipg_d50,gram6-plural,1332,24.47,100.0
ft_skipg_d50,gram7-infinitiu-a-3a-singular,870,36.78,100.0
ft_skipg_d50,gram8-infinitiu-a-1a-singular,812,13.18,100.0
ft_skipg_d50,gram9-masculi-femeni,812,51.85,100.0
ours_news_300,capital-país-1,506,55.73,100.0
ours_news_300,capital-país-2,3660,31.09,100.0
ours_news_300,familia,380,53.68,100.0
ours_news_300,gram1-adjectiu-a-adverbi,650,25.38,100.0
ours_news_300,gram10-masculi-femeni-plural,702,56.27,100.0
ours_news_300,gram2-antònims,506,36.96,100.0
ours_news_300,gram3-infinitiu-geruni,1056,63.92,100.0
ours_news_300,gram4-país-gentilici,1560,57.37,100.0
ours_news_300,gram5-gerundi-imperfet,1482,74.02,100.0
ours_news_300,gram6-plural,1332,63.96,100.0
ours_news_300,gram7-infinitiu-a-3a-singular,870,41.95,100.0
ours_news_300,gram8-infinitiu-a-1a-singular,812,11.33,100.0
ours_news_300,gram9-masculi-femeni,812,58.00,100.0
ft_skipg_d300,capital-país-1,506,85.38,100.0
ft_skipg_d300,capital-país-2,3660,57.54,100.0
ft_skipg_d300,familia,380,67.11,100.0
ft_skipg_d300,gram1-adjectiu-a-adverbi,650,25.85,100.0
ft_skipg_d300,gram10-masculi-femeni-plural,702,66.81,100.0
ft_skipg_d300,gram2-antònims,506,21.74,100.0
ft_skipg_d300,gram3-infinitiu-geruni,1056,71.50,100.0
ft_skipg_d300,gram4-país-gentilici,1560,88.21,100.0
ft_skipg_d300,gram5-gerundi-imperfet,1482,77.06,100.0
ft_skipg_d300,gram6-plural,1332,54.13,100.0
ft_skipg_d300,gram7-infinitiu-a-3a-singular,870,49.66,100.0
ft_skipg_d300,gram8-infinitiu-a-1a-singular,812,21.67,100.0
ft_skipg_d300,gram9-masculi-femeni,812,67.86,100.0
cc.ca.300,capital-país-1,506,79.05,100.0
cc.ca.300,capital-país-2,3660,49.02,100.0
cc.ca.300,familia,380,69.47,100.0
cc.ca.300,gram1-adjectiu-a-adverbi,650,23.23,100.0
cc.ca.300,gram10-masculi-femeni-plural,702,72.93,100.0
cc.ca.300,gram2-antònims,506,27.67,100.0
cc.ca.300,gram3-infinitiu-geruni,1056,75.47,100.0
cc.ca.300,gram4-país-gentilici,1560,85.45,100.0
cc.ca.300,gram5-gerundi-imperfet,1482,72.87,100.0
cc.ca.300,gram6-plural,1332,46.32,100.0
cc.ca.300,gram7-infinitiu-a-3a-singular,870,62.53,100.0
cc.ca.300,gram8-infinitiu-a-1a-singular,812,15.64,100.0
cc.ca.300,gram9-masculi-femeni,812,66.38,100.0
ours_wikipedia_300,capital-país-1,506,87.35,100.0
ours_wikipedia_300,capital-país-2,3660,75.08,100.0
ours_wikipedia_300,familia,380,66.58,100.0
ours_wikipedia_300,gram1-adjectiu-a-adverbi,650,28.00,100.0
ours_wikipedia_300,gram10-masculi-femeni-plural,702,53.85,100.0
ours_wikipedia_300,gram2-antònims,506,33.79,100.0
ours_wikipedia_300,gram3-infinitiu-geruni,1056,56.44,100.0
ours_wikipedia_300,gram4-país-gentilici,1560,87.56,100.0
ours_wikipedia_300,gram5-gerundi-imperfet,1482,63.23,100.0
ours_wikipedia_300,gram6-plural,1332,60.51,100.0
ours_wikipedia_300,gram7-infinitiu-a-3a-singular,870,45.52,100.0
ours_wikipedia_300,gram8-infinitiu-a-1a-singular,812,2.22,100.0
ours_wikipedia_300,gram9-masculi-femeni,812,68.72,100.0
ft_cbow_d100,capital-país-1,506,13.64,100.0
ft_cbow_d100,capital-país-2,3660,8.22,100.0
